supplier_id,supplier_category,disruption_type,historical_unit_price,current_unit_price,historical_reliability_pct,current_reliability_pct,historical_quality_score,current_quality_score,historical_delivery_days,current_delivery_days,max_capacity,min_order_quantity,required_quantity,on_time_delivery_pct,defect_rate_pct,price_volatility_pct,capacity_utilization_pct,disruption_severity_pct,predicted_actual_delivery_days,predicted_final_unit_price,predicted_quality_risk_pct,predicted_overall_risk_score,optimal_allocation_pct
SUP-015380,International,None,96.93,89.04,83.36,89.06,70.01,69.84,13.56,13.76,29230,4357,21544,95.25,22.9,9.22,79.74,0.0,14.48,91.19,41.57,31.51,77.13
SUP-015381,Regional,Price Increase,117.56,123.6,95.78,93.48,86.62,87.49,3.42,5.92,3615,1159,74291,99.25,7.54,16.38,58.74,24.16,6.71,151.99,13.57,24.79,71.65
SUP-015382,Regional,Delivery Delay,110.95,111.19,83.29,70.69,78.44,87.84,7.31,10.89,22802,1629,39770,73.39,7.75,0.47,80.04,56.1,19.37,111.32,17.29,38.29,63.05
SUP-015383,International,Price Increase,125.76,119.14,85.78,88.09,90.77,84.12,14.38,14.55,6988,1437,59351,82.38,11.8,9.25,50.91,26.27,15.77,148.75,20.92,40.36,59.52
SUP-015384,National,None,125.38,128.96,85.88,80.58,77.0,76.22,2.58,4.98,26804,1369,52603,75.76,17.93,11.66,41.84,0.0,4.47,130.54,29.97,26.56,66.65
SUP-015385,Local,None,111.76,94.11,91.17,77.88,86.48,83.47,3.37,3.51,21801,187,54792,83.03,13.29,20.74,71.81,0.0,4.99,97.77,22.62,33.16,66.86
SUP-015386,National,Price Increase,98.3,84.85,94.57,97.04,92.33,91.12,4.66,3.55,4211,768,65232,99.84,8.54,19.6,59.65,54.04,1.58,131.8,19.06,29.98,73.26
SUP-015387,Local,Capacity Reduction,93.39,97.66,91.9,96.5,87.19,92.65,4.99,7.01,5517,771,33937,100.0,9.46,7.83,91.8,18.87,7.54,100.01,13.87,22.25,83.46
SUP-015388,Local,None,103.59,89.15,87.56,99.0,87.96,91.75,2.49,1.84,13273,1691,14691,100.0,2.5,16.61,63.44,0.0,2.18,88.17,5.38,15.39,89.99
SUP-015389,National,Delivery Delay,92.1,110.62,87.03,78.02,87.55,90.53,7.3,7.22,18657,885,31842,81.94,13.86,27.75,80.27,28.86,11.99,111.62,15.5,31.83,77.33
SUP-015390,Local,Quality Issue,86.65,87.38,93.24,86.74,87.01,84.81,3.75,4.59,28930,1618,52217,79.76,14.05,1.51,64.26,17.86,4.53,92.03,30.73,23.21,75.68
SUP-015391,Regional,None,121.54,109.74,89.39,88.13,95.1,99.4,6.46,6.97,18820,2670,9007,92.22,2.81,12.18,73.95,0.0,6.05,111.94,4.54,15.53,86.05
SUP-015392,Regional,Capacity Reduction,86.06,81.82,94.66,94.06,84.84,76.58,1.82,3.31,25783,2854,91100,93.72,22.35,8.58,79.39,41.05,4.32,87.03,36.33,24.65,79.87
SUP-015393,International,None,118.14,119.67,77.49,75.44,99.8,100.0,12.68,11.83,18562,2634,57703,75.25,2.91,8.4,52.38,0.0,13.26,120.1,1.6,31.29,58.84
SUP-015394,National,None,108.76,108.8,85.09,89.62,89.6,86.75,8.24,7.64,13497,2978,68311,92.77,11.94,6.1,41.0,0.0,7.26,106.91,24.3,26.65,77.29
SUP-015395,Local,Price Increase,100.61,89.28,89.36,79.85,83.27,87.08,1.0,1.0,10772,1215,50986,79.13,10.85,15.05,68.78,33.64,2.57,117.65,17.3,31.33,69.35
SUP-015396,International,None,97.18,99.2,87.0,83.45,97.04,91.98,10.71,11.81,10055,1191,20741,68.71,10.49,5.32,46.8,0.0,13.41,102.03,13.32,31.05,71.83
SUP-015397,National,Capacity Reduction,114.05,96.97,85.82,92.21,82.3,81.17,6.13,7.89,13738,1431,6432,95.58,16.65,17.64,83.92,59.55,8.9,98.7,31.65,27.15,77.02
SUP-015398,Regional,Capacity Reduction,79.76,88.6,87.45,86.33,80.34,80.4,5.01,6.74,25830,464,35482,87.09,17.95,14.59,64.4,38.09,6.02,90.55,28.24,23.53,83.65
SUP-015399,International,None,108.11,101.88,91.97,99.8,92.85,91.82,10.9,11.37,9439,2055,13875,92.53,0.1,6.6,78.42,0.0,12.49,103.08,4.11,18.7,86.07
SUP-015400,Regional,None,98.58,95.06,92.56,86.5,83.81,84.45,5.3,6.17,7178,527,80003,84.8,20.05,10.12,61.67,0.0,5.14,99.31,27.04,25.43,76.45
SUP-015401,Regional,Reliability Drop,102.89,110.72,83.84,89.85,76.93,70.59,5.62,9.07,12457,1179,12087,83.19,23.32,11.5,64.14,23.67,9.29,112.32,36.79,32.72,81.5
SUP-015402,Regional,Quality Issue,114.65,120.09,89.19,92.82,85.54,88.77,3.75,2.93,26165,3788,89841,94.62,17.16,13.62,78.79,22.77,2.32,120.83,35.33,23.4,88.2
SUP-015403,Local,None,84.65,91.17,97.66,92.33,93.99,84.24,2.24,3.13,28833,4970,48790,86.08,12.09,8.37,31.15,0.0,3.16,95.69,27.49,20.68,78.03
SUP-015404,National,Reliability Drop,119.09,126.74,95.47,96.19,91.51,92.04,3.96,5.6,3143,678,88332,100.0,4.48,13.55,42.28,27.93,5.02,127.24,10.26,28.2,82.67
SUP-015405,National,Reliability Drop,125.11,127.28,89.85,94.56,78.18,75.33,5.61,4.62,20611,1258,11964,96.56,20.72,3.27,37.73,43.17,4.38,133.59,30.76,20.82,79.49
SUP-015406,International,None,103.26,92.84,80.63,85.71,94.33,92.26,12.14,12.29,23766,1497,20889,83.7,8.28,12.4,76.09,0.0,12.98,97.39,14.29,25.32,77.59
SUP-015407,Local,Price Increase,75.18,65.01,86.47,88.08,92.54,94.41,4.72,4.09,26742,138,37147,83.96,9.32,17.33,81.68,27.92,5.3,83.83,8.14,25.72,80.66
SUP-015408,Local,None,91.13,91.37,88.19,80.29,81.81,76.94,2.74,1.0,9967,1366,8450,80.65,23.01,3.58,50.14,0.0,1.08,94.27,35.97,17.26,76.31
SUP-015409,Regional,None,114.0,112.54,91.73,82.68,76.54,72.06,4.0,2.29,22064,1288,96770,85.98,25.5,17.7,39.68,0.0,3.56,111.81,36.89,29.82,77.15
SUP-015410,Local,None,110.17,115.67,99.5,99.8,99.44,98.92,4.24,5.8,8488,1878,51027,98.46,2.18,12.37,72.53,0.0,5.96,111.64,1.89,15.59,85.6
SUP-015411,International,None,103.45,96.76,81.99,78.98,90.97,87.95,14.18,13.69,13909,746,42821,81.21,3.93,16.06,62.43,0.0,13.09,101.22,12.61,32.74,62.75
SUP-015412,National,Price Increase,109.92,101.19,83.32,85.21,84.06,83.4,9.88,12.09,29080,1290,53733,87.07,15.73,9.52,90.24,24.87,13.06,126.07,24.2,32.74,67.92
SUP-015413,National,None,116.88,115.33,99.5,99.8,89.68,89.36,11.42,10.39,24386,915,74474,94.05,9.26,3.67,94.05,0.0,11.31,117.16,16.84,26.67,78.33
SUP-015414,National,None,120.11,115.85,89.24,88.34,85.32,88.16,5.34,4.65,22105,909,44365,85.47,10.36,16.54,77.48,0.0,5.24,121.1,18.22,22.39,72.91
SUP-015415,Local,Reliability Drop,103.94,90.99,88.47,95.18,77.33,67.11,3.87,5.22,29280,1467,60370,99.41,27.59,23.11,74.73,46.14,5.45,90.11,45.9,33.75,70.48
SUP-015416,Local,Capacity Reduction,112.12,112.2,93.1,94.76,86.63,87.37,5.52,4.78,17116,1230,6173,100.0,7.92,0.73,69.3,14.97,6.02,112.91,13.9,12.86,83.1
SUP-015417,Regional,Delivery Delay,109.62,129.57,89.97,89.99,87.77,89.61,4.11,4.2,14483,4222,13933,85.69,9.6,24.59,37.74,30.6,9.75,132.37,14.98,25.26,78.14
SUP-015418,National,None,107.6,108.33,98.4,99.8,89.05,86.59,7.76,7.83,14672,1148,6582,96.46,12.62,2.92,91.71,0.0,7.49,104.94,16.19,16.77,88.24
SUP-015419,Regional,Price Increase,103.24,112.5,99.5,93.79,85.59,91.58,5.11,5.67,9431,739,96616,99.65,7.92,24.34,84.72,48.32,3.77,174.5,10.04,30.84,68.71
SUP-015420,Local,None,97.83,110.32,91.08,94.45,88.47,81.66,1.0,1.0,6941,856,10383,98.82,13.93,14.25,68.11,0.0,1.0,110.31,23.49,16.91,78.87
SUP-015421,National,Price Increase,116.25,117.31,95.72,99.8,99.8,100.0,5.74,3.11,13992,4763,38761,98.08,4.7,4.33,65.95,10.05,1.72,132.75,7.34,17.89,79.65
SUP-015422,Local,Capacity Reduction,78.02,81.38,98.86,94.26,86.8,89.7,3.92,5.3,12481,505,4430,93.4,11.4,7.15,58.16,57.4,6.2,85.25,16.88,17.18,86.29
SUP-015423,Regional,None,92.98,89.19,86.86,93.0,91.55,86.93,7.19,5.84,9493,1862,32152,90.69,9.3,15.01,52.35,0.0,8.38,90.35,17.48,26.85,81.51
SUP-015424,Local,Price Increase,99.32,90.3,78.35,77.71,81.13,78.85,4.44,4.92,15133,1951,39180,84.63,19.83,9.85,76.87,33.72,6.26,124.45,28.2,36.66,62.3
SUP-015425,Regional,Price Increase,110.6,104.01,90.78,97.62,83.98,84.68,4.91,5.11,29078,742,49986,100.0,18.93,9.9,61.67,24.64,3.32,128.36,26.8,22.68,78.79
SUP-015426,Regional,None,111.4,124.52,93.01,89.03,87.23,91.45,3.0,3.64,7525,1415,91943,87.12,14.23,14.62,60.66,0.0,4.64,128.54,12.51,19.54,79.59
SUP-015427,International,None,83.75,81.16,67.93,61.35,87.48,88.46,9.31,9.8,13664,1785,70555,59.4,9.48,10.29,63.75,0.0,14.51,85.75,15.92,40.56,50.7
SUP-015428,National,None,122.65,121.66,99.5,97.78,88.34,80.47,9.49,14.02,16734,1389,82943,97.64,16.09,5.02,72.03,0.0,14.29,125.46,25.72,26.41,76.09
SUP-015429,Local,Reliability Drop,96.81,90.78,80.78,76.34,88.27,96.8,1.0,1.0,18404,2065,97999,75.87,3.23,12.68,91.94,44.39,1.0,95.33,6.21,27.72,66.88
SUP-015430,National,Quality Issue,89.96,91.01,92.61,99.05,89.43,89.59,7.78,7.32,27790,2679,23675,98.31,8.49,1.37,83.1,31.49,8.15,93.82,29.08,20.42,84.41
SUP-015431,National,None,99.98,107.08,98.23,97.62,86.57,94.35,9.22,8.86,14448,2125,89704,100.0,9.22,13.44,70.23,0.0,8.29,108.01,14.52,21.29,89.53
SUP-015432,National,None,88.75,101.97,91.02,82.53,85.93,88.69,3.83,6.51,3247,186,79508,81.0,11.67,18.76,54.32,0.0,6.57,100.37,16.23,28.15,67.88
SUP-015433,International,None,116.17,98.26,78.81,70.46,87.57,79.65,15.05,13.37,22787,948,10469,72.89,17.46,16.14,81.14,0.0,15.05,98.74,22.85,31.92,64.83
SUP-015434,National,Price Increase,103.46,101.2,93.57,84.18,86.69,84.51,4.27,4.75,8060,530,90937,88.44,11.6,4.47,77.51,25.79,3.78,126.9,20.14,27.48,70.76
SUP-015435,Local,None,89.14,93.73,99.5,99.8,87.78,86.79,3.3,3.68,5105,285,49253,94.36,12.0,16.36,88.67,0.0,4.65,98.29,14.84,22.18,85.24
SUP-015436,Regional,Quality Issue,127.23,135.53,80.11,72.46,78.34,76.34,4.0,2.95,15871,163,36922,70.06,15.16,10.33,63.45,32.4,4.22,136.77,45.57,36.89,63.7
SUP-015437,Regional,None,106.92,116.12,80.33,81.43,86.95,88.86,1.39,1.0,2955,408,75394,84.64,6.54,9.84,49.08,0.0,1.0,118.6,16.3,19.76,78.52
SUP-015438,Regional,Price Increase,112.31,107.62,83.23,80.22,86.06,82.68,3.29,2.29,11781,204,32459,79.64,13.86,7.62,61.86,21.78,2.87,129.58,20.95,33.84,71.73
SUP-015439,International,None,109.32,94.53,80.24,74.85,84.17,78.24,14.43,12.78,24232,493,89971,81.2,18.44,22.08,84.22,0.0,13.87,98.02,29.97,37.1,68.96
SUP-015440,National,None,108.61,120.83,91.74,92.43,83.48,80.96,8.56,8.66,28223,3968,89666,86.38,16.37,14.74,76.98,0.0,10.01,122.14,31.12,30.34,69.48
SUP-015441,Regional,None,99.22,102.88,99.5,99.66,88.08,91.47,7.68,4.9,2982,515,76558,100.0,7.67,9.06,47.04,0.0,3.53,105.8,10.19,18.4,84.99
SUP-015442,International,None,123.65,124.5,88.94,88.87,81.71,89.89,12.24,12.59,22128,3971,47504,95.11,16.97,4.21,68.8,0.0,13.19,124.26,20.16,31.57,74.51
SUP-015443,National,Reliability Drop,119.51,126.23,88.06,98.67,77.25,75.36,6.49,7.89,25882,3728,19950,100.0,21.58,11.73,45.59,40.08,6.32,132.27,32.46,19.36,82.21
SUP-015444,Regional,Price Increase,101.6,101.59,91.16,97.65,90.22,88.6,1.93,5.13,7271,2471,84299,98.97,13.39,1.36,72.13,10.61,4.91,112.9,17.95,18.35,85.35
SUP-015445,International,Capacity Reduction,101.83,107.04,87.54,85.62,89.0,97.54,10.94,9.77,2087,216,6657,89.08,1.56,13.17,79.36,28.96,12.26,108.15,0.42,25.5,80.83
SUP-015446,Regional,None,116.56,97.55,99.5,95.09,82.89,81.53,5.26,5.37,18300,1983,14287,91.73,19.15,17.58,88.69,0.0,7.02,96.82,30.11,19.75,81.89
SUP-015447,Regional,None,101.61,107.52,89.71,86.62,81.76,82.37,3.68,6.17,14171,1627,55922,88.93,15.58,10.0,66.72,0.0,7.3,109.47,25.46,29.48,72.67
SUP-015448,Regional,Quality Issue,78.4,84.17,82.58,75.36,99.8,100.0,2.87,3.89,25727,2874,73229,77.83,5.78,9.65,80.24,23.62,4.76,86.01,14.67,28.19,75.15
SUP-015449,International,None,141.89,145.91,89.95,90.82,99.39,99.06,9.93,10.72,11986,295,24104,92.67,4.96,6.51,53.72,0.0,10.28,147.84,4.93,22.15,80.83
SUP-015450,Regional,Delivery Delay,104.59,99.86,82.29,71.82,94.19,89.67,6.78,5.13,21808,1712,57948,71.59,13.57,6.35,72.88,10.32,6.83,98.18,16.91,28.77,69.17
SUP-015451,Regional,Reliability Drop,101.27,100.75,89.2,85.25,84.38,89.19,2.93,7.17,6077,759,52496,89.68,9.91,4.12,82.88,18.18,6.82,96.72,17.02,27.18,79.17
SUP-015452,National,Price Increase,85.89,93.0,95.52,87.14,88.1,84.85,4.48,4.57,7572,1498,46113,88.17,13.07,12.02,61.25,47.54,5.06,134.38,23.11,33.66,65.89
SUP-015453,International,None,121.91,128.43,88.79,84.72,76.57,76.74,11.62,13.62,21302,2013,46118,87.79,18.16,7.79,98.33,0.0,15.05,125.26,32.15,34.14,70.96
SUP-015454,Local,None,78.46,81.37,92.17,90.26,75.19,73.03,3.91,6.62,24320,3850,84393,89.0,22.13,8.12,57.28,0.0,7.07,79.06,37.26,29.08,82.6
SUP-015455,Local,None,116.73,122.79,91.53,84.46,87.94,97.48,4.84,5.15,11481,2278,5128,84.36,4.15,17.94,79.9,0.0,5.29,126.96,6.52,17.1,82.96
SUP-015456,International,None,85.26,89.17,91.73,91.29,97.35,98.95,10.04,11.98,10089,1990,47227,87.72,3.44,5.4,46.95,0.0,12.57,90.89,4.05,25.6,71.09
SUP-015457,National,Capacity Reduction,118.2,112.95,79.3,87.51,91.3,95.68,5.1,5.71,3094,549,33592,92.83,10.66,12.75,65.49,40.17,5.9,113.81,9.24,23.09,83.76
SUP-015458,Regional,Quality Issue,118.38,118.0,87.95,98.8,88.75,95.02,8.32,8.98,29253,2967,66598,97.1,7.64,5.84,56.08,26.77,8.96,115.59,23.9,25.42,80.89
SUP-015459,Regional,Delivery Delay,103.07,112.06,97.28,94.11,99.66,100.0,4.26,6.56,25840,1856,24061,86.64,3.67,12.1,39.3,47.23,11.26,116.6,3.26,18.86,87.7
SUP-015460,Regional,None,101.64,102.0,79.78,75.36,90.65,86.3,5.7,2.46,24553,3148,40179,72.39,14.33,7.87,46.44,0.0,2.93,103.22,23.27,24.32,77.3
SUP-015461,National,None,111.82,101.91,93.5,98.06,88.09,78.95,4.83,5.14,21476,1529,86858,100.0,15.29,13.06,87.81,0.0,4.07,105.74,29.37,25.41,80.29
SUP-015462,National,None,86.96,81.44,84.12,77.9,87.23,87.39,6.57,7.58,5411,1538,76955,73.23,13.74,14.91,29.19,0.0,7.72,83.74,20.12,30.37,69.04
SUP-015463,National,Reliability Drop,101.48,94.92,95.05,90.0,81.71,87.19,8.0,6.46,15511,4395,40397,87.87,9.81,9.91,59.85,52.69,8.31,99.2,18.43,33.79,67.96
SUP-015464,Local,None,98.56,89.29,90.05,93.36,73.53,75.44,1.57,2.13,25418,1226,40773,95.15,19.23,14.65,47.46,0.0,3.14,95.28,33.86,24.77,80.97
SUP-015465,National,Price Increase,118.5,109.85,93.76,94.1,99.8,100.0,6.94,6.41,16578,3707,66160,91.08,3.19,8.68,50.91,22.12,6.52,133.28,1.36,22.55,74.48
SUP-015466,Local,Quality Issue,105.65,121.22,84.24,89.4,82.18,72.72,2.5,5.21,14607,942,94755,88.97,22.51,16.73,69.57,22.46,5.86,125.85,46.79,32.61,64.38
SUP-015467,International,Quality Issue,99.98,98.8,78.67,80.22,84.06,84.57,12.66,12.58,5554,1047,79580,77.21,18.15,1.31,72.57,33.91,13.39,102.58,39.95,35.62,63.09
SUP-015468,Local,None,104.4,117.89,94.83,99.8,89.23,88.29,7.48,7.28,4480,1033,60713,96.5,11.07,14.8,97.79,0.0,6.38,118.02,17.3,23.36,85.6
SUP-015469,Local,Quality Issue,103.6,112.52,84.11,83.71,91.98,97.63,1.0,2.12,3487,849,71878,81.14,2.17,17.05,87.68,59.24,3.31,114.51,32.9,28.92,75.27
SUP-015470,Local,None,70.52,63.95,87.73,93.64,90.81,94.12,5.8,4.78,6559,963,47508,89.42,5.92,10.13,49.49,0.0,4.32,64.57,10.94,20.92,90.67
SUP-015471,Local,Delivery Delay,76.6,73.93,89.31,95.61,86.0,86.77,4.01,3.92,10679,2925,94582,95.26,12.07,8.73,51.68,26.29,7.17,73.75,16.05,22.05,87.5
SUP-015472,Regional,None,111.29,103.4,82.07,89.18,81.9,81.59,1.0,1.65,23082,1929,49181,87.57,17.0,7.23,87.4,0.0,1.57,109.95,24.51,17.91,76.62
SUP-015473,National,None,108.12,113.35,92.97,92.47,91.32,81.23,6.21,4.29,18309,1949,82661,83.56,18.92,6.98,60.91,0.0,6.11,115.44,25.16,26.68,77.16
SUP-015474,International,Delivery Delay,125.71,126.79,90.21,91.73,88.15,82.7,12.05,13.36,14642,740,86615,89.12,13.83,3.79,86.66,17.98,15.8,128.02,27.61,29.36,66.09
SUP-015475,Regional,Price Increase,123.57,108.5,91.65,87.39,85.5,92.65,5.08,8.34,5412,782,76667,87.52,2.75,12.46,93.85,46.11,10.61,161.33,7.9,33.97,68.65
SUP-015476,Regional,Quality Issue,115.45,112.78,87.01,93.65,95.23,93.33,5.42,6.54,15852,497,96203,81.56,13.16,2.78,83.84,44.95,6.93,113.45,35.79,30.18,76.63
SUP-015477,Regional,None,94.11,94.66,84.45,86.92,88.16,97.02,4.24,4.32,29613,2301,24719,89.15,2.49,2.14,69.37,0.0,4.89,95.87,4.01,10.3,84.86
SUP-015478,National,None,103.08,105.48,90.01,90.04,90.46,82.64,8.42,8.57,10636,967,71200,89.2,15.16,6.43,47.96,0.0,8.8,103.88,23.54,24.92,77.85
SUP-015479,Local,Price Increase,93.93,85.91,81.06,78.29,73.44,76.94,1.58,2.12,19357,4389,8006,69.52,22.68,9.01,59.38,47.66,2.9,128.91,34.4,31.09,69.54
SUP-015480,Regional,Delivery Delay,107.12,102.37,96.45,99.8,97.53,97.03,4.77,7.24,25845,3213,70157,100.0,3.49,19.04,82.94,48.13,13.83,102.99,5.17,28.42,82.24
SUP-015481,Local,None,109.73,110.54,90.93,98.08,90.06,82.26,3.5,5.39,26014,829,97000,100.0,19.11,4.08,80.6,0.0,5.05,109.77,26.34,19.74,85.4
SUP-015482,Local,Capacity Reduction,74.63,75.43,97.7,96.76,92.57,96.89,5.66,6.65,17105,4561,19394,98.62,0.63,3.09,47.33,57.36,6.49,73.75,1.54,16.29,92.84
SUP-015483,National,None,109.72,101.18,94.79,99.8,84.38,82.54,9.13,9.22,15297,2559,11769,94.78,14.31,8.8,86.17,0.0,10.45,97.64,25.0,23.58,83.11
SUP-015484,Local,None,106.35,105.45,90.51,95.28,82.1,81.71,4.5,5.99,16726,1801,72843,91.87,14.93,2.66,95.37,0.0,6.03,103.15,24.25,19.99,87.54
SUP-015485,Local,None,110.54,106.83,88.32,93.93,86.81,91.07,3.72,3.41,14961,1300,66181,89.89,12.13,11.46,46.35,0.0,4.27,104.95,13.15,18.85,82.65
SUP-015486,National,None,123.47,131.12,99.5,97.68,82.68,80.55,3.39,1.92,12277,2944,92209,100.0,16.76,16.93,60.12,0.0,1.48,136.71,30.63,21.41,80.06
SUP-015487,Local,None,74.63,72.89,86.66,87.61,88.64,90.5,3.89,3.45,10762,1425,74238,81.33,13.17,4.13,68.13,0.0,3.93,75.87,18.84,22.53,80.82
SUP-015488,National,Capacity Reduction,87.3,91.08,94.63,93.74,88.69,94.71,7.88,7.88,4799,147,4389,88.83,1.99,7.03,73.2,14.92,7.3,94.6,3.94,17.48,81.08
SUP-015489,Regional,None,106.04,113.03,97.14,83.67,84.33,79.12,2.64,4.17,7070,655,82418,92.76,20.12,10.11,48.26,0.0,4.25,113.68,32.61,24.87,70.19
SUP-015490,International,None,133.14,139.95,91.29,97.34,92.04,89.91,9.29,8.8,21929,2697,88528,100.0,2.88,8.08,42.87,0.0,7.47,138.88,9.32,20.38,81.17
SUP-015491,National,Price Increase,111.43,119.24,99.41,99.8,86.69,82.78,5.54,7.0,7357,1975,91957,100.0,18.2,7.62,63.31,15.29,6.63,140.51,24.29,25.96,77.39
SUP-015492,Local,Delivery Delay,94.94,93.11,79.5,83.11,87.59,82.37,1.0,1.0,3565,205,9497,81.6,17.04,3.94,88.97,59.83,11.26,92.45,27.61,30.7,75.12
SUP-015493,International,Delivery Delay,97.86,88.38,79.06,73.86,86.73,90.99,11.11,10.62,26099,2829,36014,77.24,3.07,14.86,39.43,49.51,16.79,88.03,9.58,32.19,73.14
SUP-015494,Regional,Price Increase,91.72,82.89,81.91,80.53,80.38,79.25,3.65,4.85,11061,2056,66032,80.2,23.9,12.85,84.1,36.93,6.09,113.43,33.4,36.81,59.35
SUP-015495,Regional,Price Increase,89.09,92.55,83.61,73.22,85.54,92.5,6.85,7.03,19550,484,69668,74.17,10.56,6.51,62.76,29.36,8.69,118.12,14.35,34.76,61.35
SUP-015496,National,None,105.07,121.78,91.66,99.55,91.6,93.11,8.28,5.72,13380,3109,14168,100.0,6.58,18.34,42.59,0.0,6.03,124.96,9.85,16.72,86.83
SUP-015497,National,Price Increase,100.58,95.35,92.55,93.11,77.86,72.38,7.5,8.92,10476,1994,9581,86.08,23.36,16.2,76.43,31.13,9.27,125.27,38.81,33.61,69.87
SUP-015498,Regional,Delivery Delay,107.32,119.14,94.11,89.72,92.36,88.46,1.0,2.37,6224,760,66951,86.32,11.41,14.68,47.7,26.38,6.69,120.59,18.84,26.61,72.63
SUP-015499,Regional,None,115.49,102.7,78.12,81.37,97.8,93.49,4.45,4.09,14301,2451,3898,78.48,6.61,13.64,85.64,0.0,3.62,102.89,11.82,17.06,78.4
SUP-015500,Local,Reliability Drop,91.75,92.44,74.62,68.06,94.48,98.93,4.31,6.2,22518,4115,50132,59.17,3.04,14.12,85.13,12.06,10.09,93.95,0.0,31.99,62.41
SUP-015501,National,Capacity Reduction,101.9,89.26,99.5,99.8,75.83,76.19,12.06,11.24,17641,158,55540,89.7,14.27,19.93,44.42,28.21,12.23,93.0,30.99,32.15,80.2
SUP-015502,International,None,105.13,99.06,77.87,74.17,83.62,85.92,12.88,12.6,10837,1615,92625,75.02,14.5,7.84,58.29,0.0,16.85,101.0,21.38,32.63,66.19
SUP-015503,Regional,Quality Issue,121.36,110.59,96.84,89.87,92.41,98.99,4.45,4.93,12359,3489,15594,85.19,0.47,10.85,50.13,12.58,5.97,112.17,9.75,21.69,78.97
SUP-015504,International,Reliability Drop,98.81,107.18,92.99,95.19,76.68,78.12,11.77,14.13,10656,1597,48901,93.46,21.93,14.64,55.15,24.08,13.98,103.43,35.08,35.59,78.4
SUP-015505,Local,None,97.04,111.6,96.9,96.3,79.78,89.83,3.79,4.08,9996,2201,55766,97.52,10.07,18.28,47.87,0.0,3.45,118.53,16.6,20.45,85.01
SUP-015506,National,Delivery Delay,94.65,81.37,99.5,97.69,91.94,94.97,7.97,6.68,3278,203,87956,98.8,10.1,18.55,44.42,47.57,12.29,85.19,11.48,24.76,89.0
SUP-015507,International,Quality Issue,89.22,82.96,85.76,83.47,77.93,84.07,14.98,16.63,15922,3522,12989,89.32,13.69,12.68,48.87,14.39,17.24,83.96,25.62,32.64,73.3
SUP-015508,National,Price Increase,103.03,121.91,87.87,95.08,89.94,83.12,6.54,4.95,10028,1755,16267,89.21,15.92,29.26,61.75,49.04,4.99,181.84,25.08,30.21,74.27
SUP-015509,Local,Quality Issue,96.02,109.58,87.09,85.88,88.94,91.27,1.0,1.46,6948,831,81359,89.98,9.48,18.02,50.37,10.43,3.05,112.51,19.37,23.26,70.74
SUP-015510,Regional,None,89.12,93.07,84.67,86.4,94.99,97.12,5.6,6.25,29310,1949,45668,87.68,5.16,7.93,63.4,0.0,7.89,92.05,5.28,19.65,84.04
SUP-015511,Local,Quality Issue,83.12,81.08,92.81,85.4,95.68,96.29,4.44,1.0,9410,963,35883,79.78,2.87,6.58,94.75,55.79,1.72,79.24,33.1,25.08,77.62
SUP-015512,National,Capacity Reduction,93.46,86.18,89.54,88.82,81.2,82.1,5.59,3.91,26534,583,96507,86.77,16.79,17.59,36.17,34.0,3.66,90.28,24.58,25.3,83.05
SUP-015513,International,None,108.81,104.78,97.99,99.8,80.43,82.02,12.23,11.73,3451,793,87413,100.0,16.19,14.63,61.76,0.0,12.44,108.29,28.55,29.47,80.41
SUP-015514,Regional,None,97.81,92.49,88.29,91.8,95.72,93.21,5.0,3.74,28078,792,58724,92.16,5.84,5.83,45.95,0.0,4.52,93.01,6.89,14.26,84.11
SUP-015515,Local,Delivery Delay,112.36,121.17,94.99,98.07,85.21,84.58,5.01,5.43,25628,541,51216,99.97,14.14,10.42,77.39,51.87,12.84,123.45,19.44,25.41,84.67
SUP-015516,Regional,None,110.6,107.93,89.02,89.08,84.22,83.34,4.9,4.6,13768,1700,74179,88.26,16.23,7.73,43.19,0.0,6.71,110.36,24.84,27.88,77.48
SUP-015517,National,None,107.35,108.78,91.66,94.6,85.87,91.99,8.2,5.98,16772,2340,59569,98.29,2.9,4.07,60.54,0.0,7.26,109.6,9.22,19.75,83.02
SUP-015518,National,None,92.52,111.55,96.61,99.66,86.4,85.14,5.77,4.37,22304,1544,34699,95.59,10.43,25.78,83.31,0.0,6.09,113.9,16.21,21.57,87.67
SUP-015519,Local,None,80.62,80.12,87.03,96.54,78.19,78.08,5.05,5.37,6770,1426,9411,96.61,19.53,0.95,91.42,0.0,5.71,82.05,31.03,17.08,81.25
SUP-015520,National,None,114.05,113.31,86.92,89.88,86.49,77.71,3.78,5.32,13703,2935,61385,77.6,18.26,8.78,83.41,0.0,5.26,117.16,31.64,25.43,74.32
SUP-015521,Local,Price Increase,122.22,133.66,88.94,86.5,83.77,98.98,1.44,1.46,19055,217,64494,75.92,0.1,10.53,58.32,35.36,1.51,181.97,0.71,24.92,67.39
SUP-015522,National,Price Increase,105.27,111.9,93.33,99.8,84.08,84.99,1.9,5.07,28880,214,91739,97.14,17.97,8.77,80.99,52.67,5.16,175.41,24.63,31.8,76.35
SUP-015523,Regional,None,79.2,81.93,86.75,83.61,77.55,85.34,7.45,7.53,20016,3892,88296,78.44,11.87,9.19,62.89,0.0,8.09,84.04,20.8,25.91,72.81
